Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-698-SE,0.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,0.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,1.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,2.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,3.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,4.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.0,RIACHU,ANGICO,,True,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.1,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.2,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.3,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.4,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.5,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.6,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.7,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.8,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-698-SE,5.9,RIACHU,ANGICO,,False,False,False,False,,,,,,,,,,,,,,,,
