TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
29.99999088048935,,,,,,,,,,
30.099990881979465,,,,55.44161605834961,,,,,,
30.19999088346958,,,,55.523582458496094,,,,,,
30.299990884959698,,,,57.67108154296875,,,,,,
30.399990886449814,,,,58.539920806884766,,,,,,
30.49999088793993,,,,58.99892807006836,,,,,,
30.599990889430046,,,,60.34316635131836,,,,,,
30.699990890920162,,,,64.03162384033203,,,,,,
30.79999089241028,,,,69.98233795166016,,,,,,
30.899990893900394,,,,70.68724060058594,,,,,,
30.99999089539051,,,,71.21182250976562,,,,,,
31.099990896880627,,,,74.8510971069336,,,,,,
31.199990898370743,,,,78.62152099609375,,,,,,
31.29999089986086,,,,80.70345306396484,,,,,,
31.399990901350975,,,,79.67068481445312,,,,,,
31.49999090284109,,,,75.04781341552734,,,,,,
31.599990904331207,,,,70.6380615234375,,,,,,
31.699990905821323,,,,67.24468231201172,,,,,,
31.79999090731144,,,,69.98233795166016,,,,,,
31.899990908801556,,,,73.29374694824219,,,,,,
31.99999091029167,,,,79.1624984741211,,,,,,
32.09999091178179,,,,78.47398376464844,,,,,,
32.199990913271904,,,,76.27730560302734,,,,,,
32.29999091476202,,,,73.67079162597656,,,,,,
32.399990916252136,,,,72.67080688476562,,,,,,
32.49999091774225,,,,71.67082977294922,,,,,,
32.59999091923237,,,,69.01513671875,,,,,,
32.699990920722485,,,,57.212074279785156,,,,,,
32.7999909222126,,,,50.097450256347656,,,,,,
32.89999092370272,,,,44.1467399597168,,,,,,
32.99999092519283,,,,39.130435943603516,,,,,,
33.09999092668295,,,,40.277957916259766,,,,,,
33.199990928173065,,,,44.868038177490234,,,,,,
33.29999092966318,,,,62.70377731323242,,,,,,
33.3999909311533,,,,71.45771789550781,,,,,,
33.49999093264341,,,,76.81827545166016,,,,,,
33.59999093413353,,,,70.1790542602539,,,,,,
33.699990935623646,,,,60.21202087402344,,,,,,
33.79999093711376,,,,50.86792755126953,,,,,,
33.89999093860388,,,,43.523799896240234,,,,,,
33.999990940093994,,,,37.81898498535156,,,,,,
34.09999094158411,,,,37.31079864501953,,,,,,
34.199990943074226,,,,37.99930953979492,,,,,,
34.29999094456434,,,,42.835289001464844,,,,,,
34.39999094605446,,,,46.96635818481445,,,,,,
34.499990947544575,,,,52.03184127807617,,,,,,
34.59999094903469,,,,62.785743713378906,,,,,,
34.69999095052481,,,,65.0479965209961,,,,,,
34.79999095201492,,,,63.40868377685547,,,,,,
34.89999095350504,,,,52.55642318725586,,,,,,
34.999990954995155,,,,49.31058120727539,,,,,,
35.09999095648527,,,,50.22859573364258,,,,,,
35.19999095797539,,,,60.52349090576172,,,,,,
35.299990959465504,,,,67.12992858886719,,,,,,
35.39999096095562,,,,73.1134262084961,,,,,,
35.499990962445736,,,,77.5395736694336,,,,,,
35.59999096393585,,,,79.86740112304688,,,,,,
35.69999096542597,,,,78.94938659667969,,,,,,
35.799990966916084,,,,82.1132583618164,,,,,,
35.8999909684062,,,,93.19503021240234,,,,,,
35.99999096989632,,,,97.40806579589844,,,,,,
36.09999097138643,,,,94.32615661621094,,,,,,
36.19999097287655,,,,74.22815704345703,,,,,,
